LHS (Determinante),RHS (Dipendente),Tipo
Flight_Number_Reporting_Airline,WeatherDelay,1 -> 1
Flight_Number_Reporting_Airline,NASDelay,1 -> 1
Flight_Number_Reporting_Airline,LateAircraftDelay,1 -> 1
Flight_Number_Reporting_Airline,FirstDepTime,1 -> 1
Flight_Number_Reporting_Airline,TotalAddGTime,1 -> 1
Flight_Number_Reporting_Airline,LongestAddGTime,1 -> 1
Flight_Number_Reporting_Airline,DivReachedDest,1 -> 1
Flight_Number_Reporting_Airline,DivDistance,1 -> 1
Flight_Number_Reporting_Airline,Div1Airport,1 -> 1
Flight_Number_Reporting_Airline,Div1AirportID,1 -> 1
Flight_Number_Reporting_Airline,Div1AirportSeqID,1 -> 1
Flight_Number_Reporting_Airline,Div1WheelsOn,1 -> 1
Flight_Number_Reporting_Airline,Div1TotalGTime,1 -> 1
Flight_Number_Reporting_Airline,Div1LongestGTime,1 -> 1
OriginAirportID,OriginAirportSeqID,1 -> 1
OriginAirportID,OriginCityMarketID,1 -> 1
OriginAirportID,Origin,1 -> 1
OriginAirportID,OriginCityName,1 -> 1
OriginAirportID,OriginState,1 -> 1
OriginAirportID,OriginStateFips,1 -> 1
OriginAirportID,OriginStateName,1 -> 1
OriginAirportID,OriginWac,1 -> 1
OriginAirportID,FirstDepTime,1 -> 1
OriginAirportID,TotalAddGTime,1 -> 1
OriginAirportID,LongestAddGTime,1 -> 1
OriginAirportSeqID,OriginAirportID,1 -> 1
OriginAirportSeqID,OriginCityMarketID,1 -> 1
OriginAirportSeqID,Origin,1 -> 1
OriginAirportSeqID,OriginCityName,1 -> 1
OriginAirportSeqID,OriginState,1 -> 1
OriginAirportSeqID,OriginStateFips,1 -> 1
OriginAirportSeqID,OriginStateName,1 -> 1
OriginAirportSeqID,OriginWac,1 -> 1
OriginAirportSeqID,FirstDepTime,1 -> 1
OriginAirportSeqID,TotalAddGTime,1 -> 1
OriginAirportSeqID,LongestAddGTime,1 -> 1
OriginCityMarketID,FirstDepTime,1 -> 1
OriginCityMarketID,TotalAddGTime,1 -> 1
OriginCityMarketID,LongestAddGTime,1 -> 1
Origin,OriginAirportID,1 -> 1
Origin,OriginAirportSeqID,1 -> 1
Origin,OriginCityMarketID,1 -> 1
Origin,OriginCityName,1 -> 1
Origin,OriginState,1 -> 1
Origin,OriginStateFips,1 -> 1
Origin,OriginStateName,1 -> 1
Origin,OriginWac,1 -> 1
Origin,FirstDepTime,1 -> 1
Origin,TotalAddGTime,1 -> 1
Origin,LongestAddGTime,1 -> 1
OriginCityName,OriginCityMarketID,1 -> 1
OriginCityName,OriginState,1 -> 1
OriginCityName,OriginStateFips,1 -> 1
OriginCityName,OriginStateName,1 -> 1
OriginCityName,OriginWac,1 -> 1
OriginCityName,FirstDepTime,1 -> 1
OriginCityName,TotalAddGTime,1 -> 1
OriginCityName,LongestAddGTime,1 -> 1
OriginState,OriginStateFips,1 -> 1
OriginState,OriginStateName,1 -> 1
OriginState,OriginWac,1 -> 1
OriginState,FirstDepTime,1 -> 1
OriginState,TotalAddGTime,1 -> 1
OriginState,LongestAddGTime,1 -> 1
OriginStateFips,OriginState,1 -> 1
OriginStateFips,OriginStateName,1 -> 1
OriginStateFips,OriginWac,1 -> 1
OriginStateFips,FirstDepTime,1 -> 1
OriginStateFips,TotalAddGTime,1 -> 1
OriginStateFips,LongestAddGTime,1 -> 1
OriginStateName,OriginState,1 -> 1
OriginStateName,OriginStateFips,1 -> 1
OriginStateName,OriginWac,1 -> 1
OriginStateName,FirstDepTime,1 -> 1
OriginStateName,TotalAddGTime,1 -> 1
OriginStateName,LongestAddGTime,1 -> 1
OriginWac,OriginState,1 -> 1
OriginWac,OriginStateFips,1 -> 1
OriginWac,OriginStateName,1 -> 1
OriginWac,FirstDepTime,1 -> 1
OriginWac,TotalAddGTime,1 -> 1
OriginWac,LongestAddGTime,1 -> 1
DestAirportID,DestAirportSeqID,1 -> 1
DestAirportID,DestCityMarketID,1 -> 1
DestAirportID,Dest,1 -> 1
DestAirportID,DestCityName,1 -> 1
DestAirportID,DestState,1 -> 1
DestAirportID,DestStateFips,1 -> 1
DestAirportID,DestStateName,1 -> 1
DestAirportID,DestWac,1 -> 1
DestAirportID,DivReachedDest,1 -> 1
DestAirportID,DivDistance,1 -> 1
DestAirportID,Div1Airport,1 -> 1
DestAirportID,Div1AirportID,1 -> 1
DestAirportID,Div1AirportSeqID,1 -> 1
DestAirportID,Div1WheelsOn,1 -> 1
DestAirportID,Div1TotalGTime,1 -> 1
DestAirportID,Div1LongestGTime,1 -> 1
DestAirportSeqID,DestAirportID,1 -> 1
DestAirportSeqID,DestCityMarketID,1 -> 1
DestAirportSeqID,Dest,1 -> 1
DestAirportSeqID,DestCityName,1 -> 1
DestAirportSeqID,DestState,1 -> 1
DestAirportSeqID,DestStateFips,1 -> 1
DestAirportSeqID,DestStateName,1 -> 1
DestAirportSeqID,DestWac,1 -> 1
DestAirportSeqID,DivReachedDest,1 -> 1
DestAirportSeqID,DivDistance,1 -> 1
DestAirportSeqID,Div1Airport,1 -> 1
DestAirportSeqID,Div1AirportID,1 -> 1
DestAirportSeqID,Div1AirportSeqID,1 -> 1
DestAirportSeqID,Div1WheelsOn,1 -> 1
DestAirportSeqID,Div1TotalGTime,1 -> 1
DestAirportSeqID,Div1LongestGTime,1 -> 1
DestCityMarketID,DivReachedDest,1 -> 1
DestCityMarketID,DivDistance,1 -> 1
DestCityMarketID,Div1Airport,1 -> 1
DestCityMarketID,Div1AirportID,1 -> 1
DestCityMarketID,Div1AirportSeqID,1 -> 1
DestCityMarketID,Div1WheelsOn,1 -> 1
DestCityMarketID,Div1TotalGTime,1 -> 1
DestCityMarketID,Div1LongestGTime,1 -> 1
Dest,DestAirportID,1 -> 1
Dest,DestAirportSeqID,1 -> 1
Dest,DestCityMarketID,1 -> 1
Dest,DestCityName,1 -> 1
Dest,DestState,1 -> 1
Dest,DestStateFips,1 -> 1
Dest,DestStateName,1 -> 1
Dest,DestWac,1 -> 1
Dest,DivReachedDest,1 -> 1
Dest,DivDistance,1 -> 1
Dest,Div1Airport,1 -> 1
Dest,Div1AirportID,1 -> 1
Dest,Div1AirportSeqID,1 -> 1
Dest,Div1WheelsOn,1 -> 1
Dest,Div1TotalGTime,1 -> 1
Dest,Div1LongestGTime,1 -> 1
DestCityName,DestCityMarketID,1 -> 1
DestCityName,DestState,1 -> 1
DestCityName,DestStateFips,1 -> 1
DestCityName,DestStateName,1 -> 1
DestCityName,DestWac,1 -> 1
DestCityName,DivReachedDest,1 -> 1
DestCityName,DivDistance,1 -> 1
DestCityName,Div1Airport,1 -> 1
DestCityName,Div1AirportID,1 -> 1
DestCityName,Div1AirportSeqID,1 -> 1
DestCityName,Div1WheelsOn,1 -> 1
DestCityName,Div1TotalGTime,1 -> 1
DestCityName,Div1LongestGTime,1 -> 1
DestState,DestStateFips,1 -> 1
DestState,DestStateName,1 -> 1
DestState,DestWac,1 -> 1
DestState,DivReachedDest,1 -> 1
DestState,DivDistance,1 -> 1
DestState,Div1Airport,1 -> 1
DestState,Div1AirportID,1 -> 1
DestState,Div1AirportSeqID,1 -> 1
DestState,Div1WheelsOn,1 -> 1
DestState,Div1TotalGTime,1 -> 1
DestState,Div1LongestGTime,1 -> 1
DestStateFips,DestState,1 -> 1
DestStateFips,DestStateName,1 -> 1
DestStateFips,DestWac,1 -> 1
DestStateFips,DivReachedDest,1 -> 1
DestStateFips,DivDistance,1 -> 1
DestStateFips,Div1Airport,1 -> 1
DestStateFips,Div1AirportID,1 -> 1
DestStateFips,Div1AirportSeqID,1 -> 1
DestStateFips,Div1WheelsOn,1 -> 1
DestStateFips,Div1TotalGTime,1 -> 1
DestStateFips,Div1LongestGTime,1 -> 1
DestStateName,DestState,1 -> 1
DestStateName,DestStateFips,1 -> 1
DestStateName,DestWac,1 -> 1
DestStateName,DivReachedDest,1 -> 1
DestStateName,DivDistance,1 -> 1
DestStateName,Div1Airport,1 -> 1
DestStateName,Div1AirportID,1 -> 1
DestStateName,Div1AirportSeqID,1 -> 1
DestStateName,Div1WheelsOn,1 -> 1
DestStateName,Div1TotalGTime,1 -> 1
DestStateName,Div1LongestGTime,1 -> 1
DestWac,DestState,1 -> 1
DestWac,DestStateFips,1 -> 1
DestWac,DestStateName,1 -> 1
DestWac,DivReachedDest,1 -> 1
DestWac,DivDistance,1 -> 1
DestWac,Div1Airport,1 -> 1
DestWac,Div1AirportID,1 -> 1
DestWac,Div1AirportSeqID,1 -> 1
DestWac,Div1WheelsOn,1 -> 1
DestWac,Div1TotalGTime,1 -> 1
DestWac,Div1LongestGTime,1 -> 1
CRSDepTime,DepTimeBlk,1 -> 1
CRSDepTime,FirstDepTime,1 -> 1
CRSDepTime,TotalAddGTime,1 -> 1
CRSDepTime,LongestAddGTime,1 -> 1
CRSDepTime,DivReachedDest,1 -> 1
CRSDepTime,DivDistance,1 -> 1
CRSDepTime,Div1Airport,1 -> 1
CRSDepTime,Div1AirportID,1 -> 1
CRSDepTime,Div1AirportSeqID,1 -> 1
CRSDepTime,Div1WheelsOn,1 -> 1
CRSDepTime,Div1TotalGTime,1 -> 1
CRSDepTime,Div1LongestGTime,1 -> 1
DepTime,CancellationCode,1 -> 1
DepTime,FirstDepTime,1 -> 1
DepTime,TotalAddGTime,1 -> 1
DepTime,LongestAddGTime,1 -> 1
DepTime,DivReachedDest,1 -> 1
DepTime,DivDistance,1 -> 1
DepTime,Div1Airport,1 -> 1
DepTime,Div1AirportID,1 -> 1
DepTime,Div1AirportSeqID,1 -> 1
DepTime,Div1WheelsOn,1 -> 1
DepTime,Div1TotalGTime,1 -> 1
DepTime,Div1LongestGTime,1 -> 1
DepDelay,DepDelayMinutes,1 -> 1
DepDelay,DepDel15,1 -> 1
DepDelay,DepartureDelayGroups,1 -> 1
DepDelay,CancellationCode,1 -> 1
DepDelay,FirstDepTime,1 -> 1
DepDelay,TotalAddGTime,1 -> 1
DepDelay,LongestAddGTime,1 -> 1
DepDelay,DivReachedDest,1 -> 1
DepDelay,DivDistance,1 -> 1
DepDelay,Div1Airport,1 -> 1
DepDelay,Div1AirportID,1 -> 1
DepDelay,Div1AirportSeqID,1 -> 1
DepDelay,Div1WheelsOn,1 -> 1
DepDelay,Div1TotalGTime,1 -> 1
DepDelay,Div1LongestGTime,1 -> 1
DepDelayMinutes,DepDel15,1 -> 1
DepDelayMinutes,CancellationCode,1 -> 1
DepDelayMinutes,FirstDepTime,1 -> 1
DepDelayMinutes,TotalAddGTime,1 -> 1
DepDelayMinutes,LongestAddGTime,1 -> 1
DepDelayMinutes,DivReachedDest,1 -> 1
DepDelayMinutes,DivDistance,1 -> 1
DepDelayMinutes,Div1Airport,1 -> 1
DepDelayMinutes,Div1AirportID,1 -> 1
DepDelayMinutes,Div1AirportSeqID,1 -> 1
DepDelayMinutes,Div1WheelsOn,1 -> 1
DepDelayMinutes,Div1TotalGTime,1 -> 1
DepDelayMinutes,Div1LongestGTime,1 -> 1
DepDel15,CancellationCode,1 -> 1
DepDel15,DivReachedDest,1 -> 1
DepDel15,DivDistance,1 -> 1
DepDel15,Div1Airport,1 -> 1
DepDel15,Div1AirportID,1 -> 1
DepDel15,Div1AirportSeqID,1 -> 1
DepDel15,Div1WheelsOn,1 -> 1
DepDel15,Div1TotalGTime,1 -> 1
DepDel15,Div1LongestGTime,1 -> 1
DepartureDelayGroups,DepDel15,1 -> 1
DepartureDelayGroups,CancellationCode,1 -> 1
DepartureDelayGroups,DivReachedDest,1 -> 1
DepartureDelayGroups,DivDistance,1 -> 1
DepartureDelayGroups,Div1Airport,1 -> 1
DepartureDelayGroups,Div1AirportID,1 -> 1
DepartureDelayGroups,Div1AirportSeqID,1 -> 1
DepartureDelayGroups,Div1WheelsOn,1 -> 1
DepartureDelayGroups,Div1TotalGTime,1 -> 1
DepartureDelayGroups,Div1LongestGTime,1 -> 1
DepTimeBlk,DivReachedDest,1 -> 1
DepTimeBlk,DivDistance,1 -> 1
DepTimeBlk,Div1Airport,1 -> 1
DepTimeBlk,Div1AirportID,1 -> 1
DepTimeBlk,Div1AirportSeqID,1 -> 1
DepTimeBlk,Div1WheelsOn,1 -> 1
DepTimeBlk,Div1TotalGTime,1 -> 1
DepTimeBlk,Div1LongestGTime,1 -> 1
TaxiOut,Cancelled,1 -> 1
TaxiOut,FirstDepTime,1 -> 1
TaxiOut,TotalAddGTime,1 -> 1
TaxiOut,LongestAddGTime,1 -> 1
TaxiOut,DivReachedDest,1 -> 1
TaxiOut,DivDistance,1 -> 1
TaxiOut,Div1Airport,1 -> 1
TaxiOut,Div1AirportID,1 -> 1
TaxiOut,Div1AirportSeqID,1 -> 1
TaxiOut,Div1WheelsOn,1 -> 1
TaxiOut,Div1TotalGTime,1 -> 1
TaxiOut,Div1LongestGTime,1 -> 1
WheelsOff,Cancelled,1 -> 1
WheelsOff,FirstDepTime,1 -> 1
WheelsOff,TotalAddGTime,1 -> 1
WheelsOff,LongestAddGTime,1 -> 1
WheelsOff,DivReachedDest,1 -> 1
WheelsOff,DivDistance,1 -> 1
WheelsOff,Div1Airport,1 -> 1
WheelsOff,Div1AirportID,1 -> 1
WheelsOff,Div1AirportSeqID,1 -> 1
WheelsOff,Div1WheelsOn,1 -> 1
WheelsOff,Div1TotalGTime,1 -> 1
WheelsOff,Div1LongestGTime,1 -> 1
WheelsOn,Cancelled,1 -> 1
WheelsOn,WeatherDelay,1 -> 1
WheelsOn,FirstDepTime,1 -> 1
WheelsOn,TotalAddGTime,1 -> 1
WheelsOn,LongestAddGTime,1 -> 1
WheelsOn,DivReachedDest,1 -> 1
WheelsOn,DivDistance,1 -> 1
WheelsOn,Div1Airport,1 -> 1
WheelsOn,Div1AirportID,1 -> 1
WheelsOn,Div1AirportSeqID,1 -> 1
WheelsOn,Div1WheelsOn,1 -> 1
WheelsOn,Div1TotalGTime,1 -> 1
WheelsOn,Div1LongestGTime,1 -> 1
TaxiIn,Cancelled,1 -> 1
TaxiIn,DivReachedDest,1 -> 1
TaxiIn,DivDistance,1 -> 1
TaxiIn,Div1Airport,1 -> 1
TaxiIn,Div1AirportID,1 -> 1
TaxiIn,Div1AirportSeqID,1 -> 1
TaxiIn,Div1WheelsOn,1 -> 1
TaxiIn,Div1TotalGTime,1 -> 1
TaxiIn,Div1LongestGTime,1 -> 1
CRSArrTime,ArrTimeBlk,1 -> 1
CRSArrTime,WeatherDelay,1 -> 1
CRSArrTime,FirstDepTime,1 -> 1
CRSArrTime,TotalAddGTime,1 -> 1
CRSArrTime,LongestAddGTime,1 -> 1
CRSArrTime,DivReachedDest,1 -> 1
CRSArrTime,DivDistance,1 -> 1
CRSArrTime,Div1Airport,1 -> 1
CRSArrTime,Div1AirportID,1 -> 1
CRSArrTime,Div1AirportSeqID,1 -> 1
CRSArrTime,Div1WheelsOn,1 -> 1
CRSArrTime,Div1TotalGTime,1 -> 1
CRSArrTime,Div1LongestGTime,1 -> 1
ArrTime,Cancelled,1 -> 1
ArrTime,Diverted,1 -> 1
ArrTime,FirstDepTime,1 -> 1
ArrTime,TotalAddGTime,1 -> 1
ArrTime,LongestAddGTime,1 -> 1
ArrTime,DivAirportLandings,1 -> 1
ArrTime,DivReachedDest,1 -> 1
ArrTime,DivDistance,1 -> 1
ArrTime,Div1Airport,1 -> 1
ArrTime,Div1AirportID,1 -> 1
ArrTime,Div1AirportSeqID,1 -> 1
ArrTime,Div1WheelsOn,1 -> 1
ArrTime,Div1TotalGTime,1 -> 1
ArrTime,Div1LongestGTime,1 -> 1
ArrDelay,ArrDelayMinutes,1 -> 1
ArrDelay,ArrDel15,1 -> 1
ArrDelay,ArrivalDelayGroups,1 -> 1
ArrDelay,Cancelled,1 -> 1
ArrDelay,Diverted,1 -> 1
ArrDelay,FirstDepTime,1 -> 1
ArrDelay,TotalAddGTime,1 -> 1
ArrDelay,LongestAddGTime,1 -> 1
ArrDelay,DivAirportLandings,1 -> 1
ArrDelayMinutes,ArrDel15,1 -> 1
ArrDelayMinutes,Cancelled,1 -> 1
ArrDelayMinutes,Diverted,1 -> 1
ArrDelayMinutes,FirstDepTime,1 -> 1
ArrDelayMinutes,TotalAddGTime,1 -> 1
ArrDelayMinutes,LongestAddGTime,1 -> 1
ArrDelayMinutes,DivAirportLandings,1 -> 1
ArrDel15,Cancelled,1 -> 1
ArrDel15,Diverted,1 -> 1
ArrDel15,DivAirportLandings,1 -> 1
ArrivalDelayGroups,ArrDel15,1 -> 1
ArrivalDelayGroups,Cancelled,1 -> 1
ArrivalDelayGroups,Diverted,1 -> 1
ArrivalDelayGroups,DivAirportLandings,1 -> 1
ArrTimeBlk,DivReachedDest,1 -> 1
ArrTimeBlk,DivDistance,1 -> 1
ArrTimeBlk,Div1Airport,1 -> 1
ArrTimeBlk,Div1AirportID,1 -> 1
ArrTimeBlk,Div1AirportSeqID,1 -> 1
ArrTimeBlk,Div1WheelsOn,1 -> 1
ArrTimeBlk,Div1TotalGTime,1 -> 1
ArrTimeBlk,Div1LongestGTime,1 -> 1
CancellationCode,DepTime,1 -> 1
CancellationCode,DepDelay,1 -> 1
CancellationCode,DepDelayMinutes,1 -> 1
CancellationCode,DepDel15,1 -> 1
CancellationCode,DepartureDelayGroups,1 -> 1
CancellationCode,Cancelled,1 -> 1
CancellationCode,Diverted,1 -> 1
CancellationCode,FirstDepTime,1 -> 1
CancellationCode,TotalAddGTime,1 -> 1
CancellationCode,LongestAddGTime,1 -> 1
CancellationCode,DivAirportLandings,1 -> 1
Diverted,DivAirportLandings,1 -> 1
CRSElapsedTime,FirstDepTime,1 -> 1
CRSElapsedTime,TotalAddGTime,1 -> 1
CRSElapsedTime,LongestAddGTime,1 -> 1
CRSElapsedTime,DivReachedDest,1 -> 1
CRSElapsedTime,DivDistance,1 -> 1
CRSElapsedTime,Div1Airport,1 -> 1
CRSElapsedTime,Div1AirportID,1 -> 1
CRSElapsedTime,Div1AirportSeqID,1 -> 1
CRSElapsedTime,Div1WheelsOn,1 -> 1
CRSElapsedTime,Div1TotalGTime,1 -> 1
CRSElapsedTime,Div1LongestGTime,1 -> 1
ActualElapsedTime,Cancelled,1 -> 1
ActualElapsedTime,Diverted,1 -> 1
ActualElapsedTime,FirstDepTime,1 -> 1
ActualElapsedTime,TotalAddGTime,1 -> 1
ActualElapsedTime,LongestAddGTime,1 -> 1
ActualElapsedTime,DivAirportLandings,1 -> 1
AirTime,Cancelled,1 -> 1
AirTime,Diverted,1 -> 1
AirTime,FirstDepTime,1 -> 1
AirTime,TotalAddGTime,1 -> 1
AirTime,LongestAddGTime,1 -> 1
AirTime,DivAirportLandings,1 -> 1
Distance,CancellationCode,1 -> 1
Distance,DistanceGroup,1 -> 1
Distance,FirstDepTime,1 -> 1
Distance,TotalAddGTime,1 -> 1
Distance,LongestAddGTime,1 -> 1
Distance,DivReachedDest,1 -> 1
Distance,DivDistance,1 -> 1
Distance,Div1Airport,1 -> 1
Distance,Div1AirportID,1 -> 1
Distance,Div1AirportSeqID,1 -> 1
Distance,Div1WheelsOn,1 -> 1
Distance,Div1TotalGTime,1 -> 1
Distance,Div1LongestGTime,1 -> 1
DistanceGroup,DivReachedDest,1 -> 1
DistanceGroup,DivDistance,1 -> 1
DistanceGroup,Div1Airport,1 -> 1
DistanceGroup,Div1AirportID,1 -> 1
DistanceGroup,Div1AirportSeqID,1 -> 1
DistanceGroup,Div1WheelsOn,1 -> 1
DistanceGroup,Div1TotalGTime,1 -> 1
DistanceGroup,Div1LongestGTime,1 -> 1
CarrierDelay,ArrDel15,1 -> 1
CarrierDelay,Cancelled,1 -> 1
CarrierDelay,Diverted,1 -> 1
CarrierDelay,DivAirportLandings,1 -> 1
WeatherDelay,ArrDel15,1 -> 1
WeatherDelay,Cancelled,1 -> 1
WeatherDelay,Diverted,1 -> 1
WeatherDelay,DivAirportLandings,1 -> 1
NASDelay,ArrDel15,1 -> 1
NASDelay,Cancelled,1 -> 1
NASDelay,Diverted,1 -> 1
NASDelay,DivAirportLandings,1 -> 1
LateAircraftDelay,ArrDel15,1 -> 1
LateAircraftDelay,Cancelled,1 -> 1
LateAircraftDelay,Diverted,1 -> 1
LateAircraftDelay,DivAirportLandings,1 -> 1
FirstDepTime,DayofMonth,1 -> 1
FirstDepTime,DayOfWeek,1 -> 1
FirstDepTime,FlightDate,1 -> 1
FirstDepTime,Reporting_Airline,1 -> 1
FirstDepTime,DOT_ID_Reporting_Airline,1 -> 1
FirstDepTime,IATA_CODE_Reporting_Airline,1 -> 1
FirstDepTime,Tail_Number,1 -> 1
FirstDepTime,Flight_Number_Reporting_Airline,1 -> 1
FirstDepTime,OriginAirportID,1 -> 1
FirstDepTime,OriginAirportSeqID,1 -> 1
FirstDepTime,OriginCityMarketID,1 -> 1
FirstDepTime,Origin,1 -> 1
FirstDepTime,OriginCityName,1 -> 1
FirstDepTime,OriginState,1 -> 1
FirstDepTime,OriginStateFips,1 -> 1
FirstDepTime,OriginStateName,1 -> 1
FirstDepTime,OriginWac,1 -> 1
FirstDepTime,DestAirportID,1 -> 1
FirstDepTime,DestAirportSeqID,1 -> 1
FirstDepTime,DestCityMarketID,1 -> 1
FirstDepTime,Dest,1 -> 1
FirstDepTime,DestCityName,1 -> 1
FirstDepTime,DestState,1 -> 1
FirstDepTime,DestStateFips,1 -> 1
FirstDepTime,DestStateName,1 -> 1
FirstDepTime,DestWac,1 -> 1
FirstDepTime,CRSDepTime,1 -> 1
FirstDepTime,DepTime,1 -> 1
FirstDepTime,DepDelay,1 -> 1
FirstDepTime,DepDelayMinutes,1 -> 1
FirstDepTime,DepDel15,1 -> 1
FirstDepTime,DepartureDelayGroups,1 -> 1
FirstDepTime,DepTimeBlk,1 -> 1
FirstDepTime,TaxiOut,1 -> 1
FirstDepTime,WheelsOff,1 -> 1
FirstDepTime,WheelsOn,1 -> 1
FirstDepTime,TaxiIn,1 -> 1
FirstDepTime,CRSArrTime,1 -> 1
FirstDepTime,ArrTime,1 -> 1
FirstDepTime,ArrDelay,1 -> 1
FirstDepTime,ArrDelayMinutes,1 -> 1
FirstDepTime,ArrDel15,1 -> 1
FirstDepTime,ArrivalDelayGroups,1 -> 1
FirstDepTime,ArrTimeBlk,1 -> 1
FirstDepTime,Cancelled,1 -> 1
FirstDepTime,CancellationCode,1 -> 1
FirstDepTime,Diverted,1 -> 1
FirstDepTime,CRSElapsedTime,1 -> 1
FirstDepTime,ActualElapsedTime,1 -> 1
FirstDepTime,AirTime,1 -> 1
FirstDepTime,Distance,1 -> 1
FirstDepTime,DistanceGroup,1 -> 1
FirstDepTime,CarrierDelay,1 -> 1
FirstDepTime,WeatherDelay,1 -> 1
FirstDepTime,NASDelay,1 -> 1
FirstDepTime,LateAircraftDelay,1 -> 1
FirstDepTime,TotalAddGTime,1 -> 1
FirstDepTime,LongestAddGTime,1 -> 1
FirstDepTime,DivAirportLandings,1 -> 1
TotalAddGTime,DayofMonth,1 -> 1
TotalAddGTime,DayOfWeek,1 -> 1
TotalAddGTime,FlightDate,1 -> 1
TotalAddGTime,Reporting_Airline,1 -> 1
TotalAddGTime,DOT_ID_Reporting_Airline,1 -> 1
TotalAddGTime,IATA_CODE_Reporting_Airline,1 -> 1
TotalAddGTime,Tail_Number,1 -> 1
TotalAddGTime,Flight_Number_Reporting_Airline,1 -> 1
TotalAddGTime,OriginAirportID,1 -> 1
TotalAddGTime,OriginAirportSeqID,1 -> 1
TotalAddGTime,OriginCityMarketID,1 -> 1
TotalAddGTime,Origin,1 -> 1
TotalAddGTime,OriginCityName,1 -> 1
TotalAddGTime,OriginState,1 -> 1
TotalAddGTime,OriginStateFips,1 -> 1
TotalAddGTime,OriginStateName,1 -> 1
TotalAddGTime,OriginWac,1 -> 1
TotalAddGTime,DestAirportID,1 -> 1
TotalAddGTime,DestAirportSeqID,1 -> 1
TotalAddGTime,DestCityMarketID,1 -> 1
TotalAddGTime,Dest,1 -> 1
TotalAddGTime,DestCityName,1 -> 1
TotalAddGTime,DestState,1 -> 1
TotalAddGTime,DestStateFips,1 -> 1
TotalAddGTime,DestStateName,1 -> 1
TotalAddGTime,DestWac,1 -> 1
TotalAddGTime,CRSDepTime,1 -> 1
TotalAddGTime,DepTime,1 -> 1
TotalAddGTime,DepDelay,1 -> 1
TotalAddGTime,DepDelayMinutes,1 -> 1
TotalAddGTime,DepDel15,1 -> 1
TotalAddGTime,DepartureDelayGroups,1 -> 1
TotalAddGTime,DepTimeBlk,1 -> 1
TotalAddGTime,TaxiOut,1 -> 1
TotalAddGTime,WheelsOff,1 -> 1
TotalAddGTime,WheelsOn,1 -> 1
TotalAddGTime,TaxiIn,1 -> 1
TotalAddGTime,CRSArrTime,1 -> 1
TotalAddGTime,ArrTime,1 -> 1
TotalAddGTime,ArrDelay,1 -> 1
TotalAddGTime,ArrDelayMinutes,1 -> 1
TotalAddGTime,ArrDel15,1 -> 1
TotalAddGTime,ArrivalDelayGroups,1 -> 1
TotalAddGTime,ArrTimeBlk,1 -> 1
TotalAddGTime,Cancelled,1 -> 1
TotalAddGTime,CancellationCode,1 -> 1
TotalAddGTime,Diverted,1 -> 1
TotalAddGTime,CRSElapsedTime,1 -> 1
